,persian,english
387,"صرف قرضه
متضاد bond disount",bond premium
388,"برگ انتقال اوراق قرضه
مترادف assignment separate from certificate",dond power
389,"رتبه‌بندي اوراق قرضه
 rating",bond rating
390,"نسبت اوراق قرضه
 debt-to-equity ratio",bond ratio
391, greenmail,bon voyage bonus
392,"1. ثبت‌نام اوليه (خريداران احتمالي اوراق بهادار)

2. ثبت سفارش (خريد و فروش اوراق بهادار)

مترادف specialist's book

3. ثبت فروش (پذيره‌نويسي اوراق بهادار تازه‌منتشرشده)

4. شناسا",book
393,دفترداري,bookkeeping
394,"مدير پذيره‌نويسي
 managing underwriter",bookrunner
395,فرايند كشف قيمت (عرضه عمومي اوليه),book building
396,"اوراق بهادار بدون گواهي‌نامه
 certificate less municipals",book-entry securities
397,"سود و زيان دفتري
 unrealized profit or loss",book profit or loss
398,نسبت سفارشات تحويل آتي به تحويل آني,book-to-bill ratio
399,"1. ارزش بعد از استهلاك (دارايي شركت)

مترادف residual value

2. ارزش خالص دارايي (اوراق بهادار)

متضاد market value

 asset coverage",book value
400,چرخه اوج و حضيض,boom-bust recurring cycle
401,"ذخاير استقراضي
(بانك‌هاي فدرال رزرو)",borrowed reserves
402,"وام‌گيرنده
--. debtor",borrower
403,قدرت استقراضي اوراق بهادار,borrowing power of securities
404,بورس ايتاليا,Borsa Italiana
405,بورس اوراق بهادار بوستون,Boston Stock Exchange-BSE
406,"1. سطح حمايت (قيمت‌هاي بازار)
2. كف قيمت (اوراق بهادار كالا)",bottom
407,"سرمايه‌گذار خردنگر
 top-down approach to investing",bottom-up approach to investing
408,"1. افت و بهبود (قيمت سهام)

مترادف dead cat bounce

2. چك برگشتي

كوتاه شده bounced check

مترادف rubber check, dishonored check, bad check

3. جبران بعد از مرجوع (حق هريك از طرفين معاملات اوراق بهاد",bounce
409,بورس (اصطلاح فرانسوي),Bourse
410,"كارگزار تخصصي
متضاد financial supermarket",boutique
411,گاوصندوق (اوراق بهادار),box
412,خزش طبقه مالياتي,bracket creep
413,"اوراق قرضه برادي
(نيكلاس برادي وزير خزانه‌داري در دولت بوش پدر)",Brady bonds
414,رئيس شعبه (بانك يا كارگزاري),branch office manager
415,"پهناي بازار
 depth of the market",breadth of the market
416,"1. [مالي] نقطه تخفيف
2. [سرمايه‌گذاري] 2-1. افت ناگهاني (قيمت سهام يك شركت يا به‌طور كلي سهام بازار) 2-2. اختلاف حساب (شركت‌هاي كارگزاري) 2-3. حسن تصادف",break
417,"نقطه سربه‌سر (مالي، سرمايه‌گذاري)

 leverage",breakeven point
418,انحلال سنديكاي پذيره‌نويسي,breaking the syndicate
419,شكست (تحليل تكنيكال),breakout
420,"شرط تخفيف كارمزد
(صندوق‌هاي سرمايه‌گذاري مشترك)
 letter of intent",breakpoint sale
421, private market value,breakup value
422,"وام رابط
(پيش‌درآمد وام ميان‌مدت يا بلندمدت)
مترادف swing loan",bridge loan
423,صفحه نمايش (آخرين تحولات و اطلاعات مالي),road tape
424,"كارگزار/معامله‌گر
 dealer",broker-dealer
425,گواهي سپرده خريداري كارگزار,brokerd CD
426,نرخ بهره وام دريافتي كارگزار,broker loan rate
427,توصيه‌هاي كارگزار (يا اظهارنظر يا رتبه‌بندي),broker recommendations - or opinions or ratings
428,"حصارشكني
(درزكردن اطلاعات داخلي بخش‌هاي تحقيقاتي و عملياتي شركت‌هاي تأمين سرمايه)",brought over the wall
429,بورس اوراق بهادار بروكسل,Brussels Stock Exchange-BSE
430,نظريه حباب,bubble theory
431,غش در معامله (كارگزار),bucketing
432,"كارگزار دغل
 boiler room",bucket shop
433,بودجه,budget
434,كسر بودجه,budget deficit
435,مازاد بودجه,budget surplus
436,جهش موقت (قيمت كالا يا سهام),bulge
437,"صدرنشين پذيره‌نويسي
(اعضاي سنديكاي پذيره‌نويسان اوراق بهادار)
 mezzanine bracket",bulge bracket
438,"تفكيك كلي
(جداسازي اوراق بهادار متعلق به كارگزاري از اوراق بهادار به‌نام كارگزاري ولي متعلق به مشتريان)",bulk segregation
439,خيزان‌نگر (اصطلاح بورس),bull
440,اوراق قرضه افتان و خيزان,bull and bear bonds
441, certificate of deposit-CD,bull CD
442,"اوراق بهادار بولداگ
(منتظرشده توسط ناشران غيرانگليسي در بازار لندن)",bulldog securities
443,"اوراق قرضه يك ضرب
(بازپرداخت در سررسيد)",bullet bond
444,"وام با بازپرداخت يك‌جا
مترادف balloon maturity loan
 balloon",bullet loan
445,مسكوكات شمش,bullion coins
446,بازار شمش,bullion market
447,بازار خيزان,bull market
448,"دامنك خيزان
(استراتژي اختيار معامله)",bull spread
449,گواهي سپرده يك‌بار افزايشي,bump-up CD
450,"دسته‌بندي سفارش‌ها، نمايش دسته‌بندي‌شده، تجميع
1. دسته‌بندي سفارش‌ها (دستور خريد و فروش سهام)
2. نمايش دسته‌بندي‌شده (نوار نمايشي معاملات سهام)
3. تجميع (درآمدها يا اقلام كسرشدني به‌منظور كاهش ماليات)",bunching
451, unbundling,bundling
452,"نرخ سرمايه‌سوزاني
(تأمين مالي هزينه‌هاي سربار از محل سرمايه در سرمايه‌گذاري‌هاي مخاطره‌آميز)",burn rate
453, merger,business combination
454,"چرخه تجاري
 soft landing",business cycle
455,"روز كاري، روز معامله
1. روز كاري (به‌طور كلي)
روز معامله (بازارهاي مالي)",business day
456,"بيمه عمر مديران
(شركت‌هاي كوچك)
مترادف key man (or woman) insurance",business life insurance
457,طرح كسب‌وكار,business plan
458,"گزارش‌دهي بخش‌هاي كسب‌وكار

مترادف line of business reporting",business segment reporting
459,"اوراق قابل‌تبديل بي‌خاصيت
مترادف fixed incomeequivalent",busted convertibles
460,قبضه مالكيت خودتأمين,bust-up takeover
461,دامنك پروانه‌اي (راهبرد اختيار معامله),butterfly spread
462,"قرارداد باتن وود
(منعقده در سال 1792 ناظر بر ايجاد بورس نيويورك)",Buttonwood Agreement
463,خريد,buy
464,"راهبرد خريد و نگهداري (سهام)
متضاد buy and sell strategy",buy and hold strategy
465,"راهبرد خريد سهام و فروش اختيار خريد
(راهبرد محافظه‌كارانه اختيار معامله)",buy and write strategy
466,"بازار خريد
مترادف soft market
متضاد seller's market",buyer's market
467,"خريد تأميني
(خريد قرارداد آتي در مقابل فروش نقدي كالا)
مترادف long hedge",buy hedge
468,"خريد پوشش مسئوليت، خريد از غير
1. خريد پوشش مسئوليت (اختيار معامله)
2. خريد از غير (ناتواني كارگزار طرف فروش در تحويل به‌موقع سهام موضوع فروش عاريه‌اي و تهيه سهام مورد نظر توسط كارگزار خريدار)
مترادف closing purchase",buy in
469,اوج خريد (تحليل تكنيكال),buying climax
470,"خريد اعتباري (اوراق بهادار)
 margin",buying on margin
471,"خريد نقدي (اوراق بهادار)
متضاد buying on margin",buying outright
472,سفارش خريد زير قيمت (سهام),buying minus
473,قدرت خريد,buying power
474,"خريد سهام بعد از خبر بد
 bottom fisher",buy on the bad news
475,سفارش خريد (اوراق بهادار),buy order
476,"خريد كنترلي (قبضه مالكيت)
 golden parachute",buyout
477,"تحليل‌گر طرف تقاضا (خريد)

 broker recommendation - or opinions or rating

متضاد sell-side analyst",buy-side analyst
478,خريد كل موجودي سهام,buy the book
479,آيين‌نامه (مديريت داخلي سازمان),bylaws
480,قيمت كالا به اضافه هزينه حمل,C & F - cost+freight
481, electronic commerce,C2C
482,"كارگزاران اوراق قرضه كم‌مشتري
(بورس نيويورك)
مترادف book crowd, inactive bond crowd
 automated bond system-ABS",cabinet crowd
483,اوراق بهادار كم‌مشتري,cabinet security
484,شاخص كك 40 (بورس پاريس),CAC 40 Index-Compagnie des Agenst de Change
485,طرح مزاياي متنوع كاركنان,cafeteria employee benefit plan
486,"صندوق كارگزاري، گيشه
1. صندوق كارگزاري
2. گيشه (تحويلدار بانك)",cage
487,اوراق بهادار آماده عرضه,calendar
488,"اختيار با دو سررسيد
(استراتژي اختيار معامله)",calendar spread
489,"تاريخ استرداد

(قبل از سررسيد وام و اوراق قرضه)",call date
490,"قرضه مسترد، اعمال، تحويل سهام
1. قرضه مسترد (قبل از سررسيد)
2. اعمال (حق اختيار معامله)
3. تحويل سهام (معاملات عاريه‌اي)",called away
491,"وام عندالمطالبه
مترادف broker overnight loan, broker loan
 broker loan rate",call loan
492, walrasian market,call market
493,"دورۀ ممنوعیت استرداد
 provisional call feature",call protection
